"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"ムラーサのレインジャー/Murasa Ranger ","(３)(緑)","クリーチャー — 人間(Human)・戦士(Warrior) ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、あなたは(３)(緑)を支払ってもよい。そうしたなら、ムラーサのレインジャーの上に+1/+1カウンターを２個置く。","Landfall --- Whenever a land enters the battlefield under your control, you may pay {3}{G}. If you do, put two +1/+1 counters on Murasa Ranger.",3/3,-,,"Eric Deschamps","アンコモン, 戦乱のゼンディカー (178/274) ",-
"自然の繋がり/Natural Connection ","(２)(緑)","インスタント ","あなたのライブラリーから基本土地カードを１枚探し、それをタップ状態で戦場に出し、その後あなたのライブラリーを切り直す。","Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",-,-,,"Wesley Burt","コモン, 戦乱のゼンディカー (179/274) ",-
"ニッサの復興/Nissa's Renewal ","(５)(緑)","ソーサリー ","あなたのライブラリーから基本土地カードを最大３枚探し、それらをタップ状態で戦場に出し、その後あなたのライブラリーを切り直す。あなたは７点のライフを得る。","Search your library for up to three basic land cards, put them onto the battlefield tapped, then shuffle your library. You gain 7 life.",-,-,,"Lius Lasahido","レア, 戦乱のゼンディカー (180/274) ",-
"オラン＝リーフのハイドラ/Oran-Rief Hydra ","(４)(緑)(緑)","クリーチャー — ハイドラ(Hydra) ","トランプル上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、オラン＝リーフのハイドラの上に+1/+1カウンターを１個置く。その土地が森(Forest)であるなら、代わりにオラン＝リーフのハイドラの上に+1/+1カウンターを２個置く。","TrampleLandfall --- Whenever a land enters the battlefield under your control, put a +1/+1 counter on Oran-Rief Hydra. If that land is a Forest, put two +1/+1 counters on Oran-Rief Hydra instead.",5/5,-,,"Chris Rahn","レア, 戦乱のゼンディカー (181/274) ",-
"オラン＝リーフの発動者/Oran-Rief Invoker ","(１)(緑)","クリーチャー — 人間(Human)・シャーマン(Shaman) ","(８)：ターン終了時まで、オラン＝リーフの発動者は+5/+5の修整を受けるとともにトランプルを得る。","{8}: Oran-Rief Invoker gets +5/+5 and gains trample until end of turn.",2/2,-,,"Anastasia Ovchinnikova","コモン, 戦乱のゼンディカー (182/274) ",-
"板金鎧の破壊屋/Plated Crusher ","(４)(緑)(緑)(緑)","クリーチャー — ビースト(Beast) ","トランプル、呪禁","Trample, hexproof",7/6,-,,"Jama Jurabaev","アンコモン, 戦乱のゼンディカー (183/274) ",-
"垂直落下/Plummet （すいちょくらっか） ","(１)(緑)","インスタント ","飛行を持つクリーチャー１体を対象とし、それを破壊する。","Destroy target creature with flying.",-,-,,"Aaron Miller","コモン, 戦乱のゼンディカー (184/274) ","BFZ M15 M14 M13 M12 M11 CNS MM2 ARC "
"回収蔦/Reclaiming Vines ","(２)(緑)(緑)","ソーサリー ","アーティファクト１つかエンチャント１つか土地１つを対象とし、それを破壊する。","Destroy target artifact, enchantment, or land.",-,-,,"Bastien L. Deharme","コモン, 戦乱のゼンディカー (185/274) ",-
"カザンドゥへの撤退/Retreat to Kazandu ","(２)(緑)","エンチャント ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、以下から１つを選ぶ。・クリーチャー１体を対象とし、それの上に+1/+1カウンターを１個置く。・あなたは２点のライフを得る。","Landfall --- Whenever a land enters the battlefield under your control, choose one ---• Put a +1/+1 counter on target creature.• You gain 2 life.",-,-,,"Kieran Yanner","アンコモン, 戦乱のゼンディカー (186/274) ",-
"腐敗のシャンブラー/Rot Shambler ","(１)(緑)","クリーチャー — ファンガス(Fungus) ","あなたがコントロールする他のクリーチャーが１体死亡するたび、腐敗のシャンブラーの上に+1/+1カウンターを１個置く。","Whenever another creature you control dies, put a +1/+1 counter on Rot Shambler.",1/1,-,,"Yeong-Hao Han","アンコモン, 戦乱のゼンディカー (187/274) ",-
"鎌豹/Scythe Leopard ","(緑)","クリーチャー — 猫(Cat) ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、鎌豹は+1/+1の修整を受ける。","Landfall --- Whenever a land enters the battlefield under your control, Scythe Leopard gets +1/+1 until end of turn.",1/1,-,,"Daniel Ljunggren","アンコモン, 戦乱のゼンディカー (188/274) ",-
"未開地の捜索/Seek the Wilds ","(１)(緑)","ソーサリー ","あなたのライブラリーの一番上から４枚のカードを見る。あなたはその中からクリーチャー・カード１枚か土地カード１枚を公開してあなたの手札に加えてもよい。残りをあなたのライブラリーの一番下に望む順番で置く。","Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",-,-,,"Anna Steinbauer","コモン, 戦乱のゼンディカー (189/274) ",-
"噛み付きナーリッド/Snapping Gnarlid ","(１)(緑)","クリーチャー — ビースト(Beast) ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、噛み付きナーリッドは+1/+1の修整を受ける。","Landfall --- Whenever a land enters the battlefield under your control, Snapping Gnarlid gets +1/+1 until end of turn.",2/2,-,,"Kev Walker","コモン, 戦乱のゼンディカー (190/274) ",-
"成長のうねり/Swell of Growth ","(１)(緑)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それは+2/+2の修整を受ける。あなたは、あなたの手札から土地カードを１枚戦場に出してもよい。","Target creature gets +2/+2 until end of turn. You may put a land card from your hand onto the battlefield.",-,-,,"Magali Villeneuve","コモン, 戦乱のゼンディカー (191/274) ",-
"森の占術/Sylvan Scrying （もりのせんじゅつ） ","(１)(緑)","ソーサリー ","あなたのライブラリーから土地カードを１枚探し、それを公開してあなたの手札に加える。その後、あなたのライブラリーを切り直す。","Search your library for a land card, reveal it, and put it into your hand. Then shuffle your library.",-,-,,"Daniel Ljunggren","アンコモン, 戦乱のゼンディカー (192/274) ","BFZ 10E MRD "
"タジュールの獣使い/Tajuru Beastmaster ","(５)(緑)","クリーチャー — エルフ(Elf)・戦士(Warrior)・同盟者(Ally) ","結集 ― タジュールの獣使いか他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは+1/+1の修整を受ける。","Rally --- Whenever Tajuru Beastmaster or another Ally enters the battlefield under your control, creatures you control get +1/+1 until end of turn.",5/5,-,,"Greg Opalinski","コモン, 戦乱のゼンディカー (193/274) ",-
"タジュールの重鎮/Tajuru Stalwart ","(２)(緑)","クリーチャー — エルフ(Elf)・スカウト(Scout)・同盟者(Ally) ","収斂 ― タジュールの重鎮は、これを唱えるために支払われたマナの色１色につき+1/+1カウンターが１個置かれた状態で戦場に出る。","Converge --- Tajuru Stalwart enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.",0/1,-,,"Wesley Burt","コモン, 戦乱のゼンディカー (194/274) ",-
"タジュールの戦呼び/Tajuru Warcaller ","(３)(緑)(緑)","クリーチャー — エルフ(Elf)・戦士(Warrior)・同盟者(Ally) ","結集 ― タジュールの戦呼びか他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは+2/+2の修整を受ける。","Rally --- Whenever Tajuru Warcaller or another Ally enters the battlefield under your control, creatures you control get +2/+2 until end of turn.",2/1,-,,"Anastasia Ovchinnikova","アンコモン, 戦乱のゼンディカー (195/274) ",-
"領地のベイロス/Territorial Baloth （りょうちのべいろす） ","(４)(緑)","クリーチャー — ビースト(Beast) ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、領地のベイロスは+2/+2の修整を受ける。","Landfall --- Whenever a land enters the battlefield under your control, Territorial Baloth gets +2/+2 until end of turn.",4/4,-,,"Matt Stewart","コモン, 戦乱のゼンディカー (196/274) ","BFZ ZEN "
"下生えの勇者/Undergrowth Champion ","(１)(緑)(緑)","クリーチャー — エレメンタル(Elemental) ","+1/+1カウンターが置かれている下生えの勇者にダメージが与えられるなら、そのダメージを軽減し、下生えの勇者の上から+1/+1カウンターを１個取り除く。上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、下生えの勇者の上に+1/+1カウンターを１個置く。","If damage would be dealt to Undergrowth Champion while it has a +1/+1 counter on it, prevent that damage and remove a +1/+1 counter from Undergrowth Champion.Landfall --- Whenever a land enters the battlefield under your control, put a +1/+1 counter on Undergrowth Champion.",2/2,-,,"Tyler Jacobson","神話レア, 戦乱のゼンディカー (197/274) ",-
"放浪する森林/Woodland Wanderer ","(３)(緑)","クリーチャー — エレメンタル(Elemental) ","警戒、トランプル収斂 ― 放浪する森林は、これを唱えるために支払われたマナの色１色につき+1/+1カウンターが１個置かれた状態で戦場に出る。","Vigilance, trampleConverge --- Woodland Wanderer enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.",2/2,-,,"Vincent Proce","レア, 戦乱のゼンディカー (198/274) ",-
"血統の解体者/Brood Butcher ","(３)(黒)(緑)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）血統の解体者が戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。(黒)(緑),クリーチャーを１体生け贄に捧げる：クリーチャー１体を対象とする。ターン終了時まで、それは-2/-2の修整を受ける。","Devoid （This card has no color.）When Brood Butcher enters the battlefield, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""{B}{G}, Sacrifice a creature: Target creature gets -2/-2 until end of turn.",3/3,-,,Daarken,"レア, 戦乱のゼンディカー (199/274) ",-
"粗暴な排除/Brutal Expulsion ","(２)(青)(赤)","インスタント ","欠色（このカードは無色である。）以下から１つまたは両方を選ぶ。・呪文１つかクリーチャー１体を対象とし、それをオーナーの手札に戻す。・クリーチャー１体かプレインズウォーカー１体を対象とする。粗暴な排除はそれに２点のダメージを与える。このターンにそのパーマネントが墓地に置かれるなら、代わりにそれを追放する。","Devoid （This card has no color.）Choose one or both ---• Return target spell or creature to its owner's hand.• Brutal Expulsion deals 2 damage to target creature or planeswalker. If that permanent would be put into a graveyard this turn, exile it instead.",-,-,,"Victor Adame Minguez","レア, 戦乱のゼンディカー (200/274) ",-
"地下墓地の選別者/Catacomb Sifter ","(１)(黒)(緑)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）地下墓地の選別者が戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。あなたがコントロールする他のクリーチャーが１体死亡するたび、占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Devoid （This card has no color.）When Catacomb Sifter enters the battlefield, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""Whenever another creature you control dies, scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",2/3,-,,"Craig J Spearing","アンコモン, 戦乱のゼンディカー (201/274) ",-
"塵の中を忍び寄るもの/Dust Stalker ","(２)(黒)(赤)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）速攻各終了ステップの開始時に、あなたが他の無色のクリーチャーをコントロールしていない場合、塵の中を忍び寄るものをオーナーの手札に戻す。","Devoid （This card has no color.）HasteAt the beginning of each end step, if you control no other colorless creatures, return Dust Stalker to its owner's hand.",5/3,-,,"Clint Cearley","レア, 戦乱のゼンディカー (202/274) ",-
"深水の大喰らい/Fathom Feeder ","(青)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）接死嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）(３)(青)(黒)：カードを１枚引く。各対戦相手はそれぞれ自分のライブラリーの一番上のカードを追放する。","Devoid （This card has no color.）DeathtouchIngest （Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.）{3}{U}{B}: Draw a card. Each opponent exiles the top card of his or her library.",1/1,-,,"Clint Cearley","レア, 戦乱のゼンディカー (203/274) ",-
"殺戮の先陣/Forerunner of Slaughter ","(黒)(赤)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(１)：クリーチャー１体を対象とする。ターン終了時まで、それは速攻を得る。","Devoid （This card has no color.）{1}: Target colorless creature gains haste until end of turn.",3/2,-,,"James Zapata","アンコモン, 戦乱のゼンディカー (204/274) ",-
"コジレックの伝令/Herald of Kozilek ","(１)(青)(赤)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）あなたが無色の呪文を唱えるためのコストは(１)少なくなる。","Devoid （This card has no color.）Colorless spells you cast cost {1} less to cast.",2/4,-,,"Johannes Voss","アンコモン, 戦乱のゼンディカー (205/274) ",-
"淀みの種父/Sire of Stagnation ","(４)(青)(黒)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）土地が１つ対戦相手のコントロール下で戦場に出るたび、そのプレイヤーは自分のライブラリーの一番上から２枚のカードを追放する。あなたはカードを２枚引く。","Devoid （This card has no color.）Whenever a land enters the battlefield under an opponent's control, that player exiles the top two cards of his or her library and you draw two cards.",5/7,-,,"Tyler Jacobson","神話レア, 戦乱のゼンディカー (206/274) ",-
"ウラモグの失却させるもの/Ulamog's Nullifier ","(２)(青)(黒)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","欠色（このカードは無色である。）瞬速飛行ウラモグの失却させるものが戦場に出たとき、呪文１つを対象とする。あなたは追放領域から対戦相手がオーナーであるカードを２枚、それらのオーナーの墓地に置いてもよい。そうしたなら、それを打ち消す。","Devoid （This card has no color.）FlashFlyingWhen Ulamog's Nullifier enters the battlefield, you may put two cards your opponents own from exile into their owners' graveyards. If you do, counter target spell.",2/3,-,,"Aleksi Briclot","アンコモン, 戦乱のゼンディカー (207/274) ",-
"天使の隊長/Angelic Captain ","(３)(赤)(白)","クリーチャー — 天使(Angel)・同盟者(Ally) ","飛行天使の隊長が攻撃するたび、ターン終了時まで、これは他の攻撃している同盟者(Ally)１体につき+1/+1の修整を受ける。","FlyingWhenever Angelic Captain attacks, it gets +1/+1 until end of turn for each other attacking Ally.",4/3,-,,"Volkan Baga","レア, 戦乱のゼンディカー (208/274) ",-
"白日の下に/Bring to Light ","(３)(緑)(青)","ソーサリー ","収斂 ― あなたのライブラリーから、点数で見たマナ・コストが白日の下にを唱えるために支払われたマナの色の総数以下であるクリーチャー・カード１枚かインスタント・カード１枚かソーサリー・カード１枚探し、そのカードを追放し、その後、あなたのライブラリーを切り直す。あなたはそのカードを、そのマナ・コストを支払うことなく唱えてもよい。","Converge --- Search your library for a creature, instant, or sorcery card with converted mana cost less than or equal to the number of colors of mana spent to cast Bring to Light, exile that card, then shuffle your library. You may cast that card without paying its mana cost.",-,-,,"Jonas De Ro","レア, 戦乱のゼンディカー (209/274) ",-
"ドラーナの使者/Drana's Emissary ","(１)(白)(黒)","クリーチャー — 吸血鬼(Vampire)・クレリック(Cleric)・同盟者(Ally) ","飛行あなたのアップキープの開始時に、各対戦相手はそれぞれ１点のライフを失い、あなたは１点のライフを得る。","FlyingAt the beginning of your upkeep, each opponent loses 1 life and you gain 1 life.",2/2,-,,"Karl Kopinski","アンコモン, 戦乱のゼンディカー (210/274) ",-
"林の喧騒者/Grove Rumbler ","(２)(赤)(緑)","クリーチャー — エレメンタル(Elemental) ","トランプル上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、林の喧騒者は+2/+2の修整を受ける。","TrampleLandfall --- Whenever a land enters the battlefield under your control, Grove Rumbler gets +2/+2 until end of turn.",3/3,-,,"Greg Opalinski","アンコモン, 戦乱のゼンディカー (211/274) ",-
"林番のドルイド/Grovetender Druids ","(２)(緑)(白)","クリーチャー — エルフ(Elf)・ドルイド(Druid)・同盟者(Ally) ","結集 ― 林番のドルイドか他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、あなたは(１)を支払ってもよい。そうしたなら、緑の1/1の植物(Plant)クリーチャー・トークンを１体戦場に出す。","Rally --- Whenever Grovetender Druids or another Ally enters the battlefield under your control, you may pay {1}. If you do, put a 1/1 green Plant creature token onto the battlefield.",3/3,-,,"Chase Stone","アンコモン, 戦乱のゼンディカー (212/274) ",-
"深海の主、キオーラ/Kiora, Master of the Depths ","(２)(緑)(青)","プレインズウォーカー — キオーラ(Kiora) ",,"+1: Untap up to one target creature and up to one target land.-2: Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard.-8: You get an emblem with ""Whenever a creature enters the battlefield under your control, you may have it fight target creature."" Then put three 8/8 blue Octopus creature tokens onto the battlefield.",-,-,,"Jason Chan","神話レア, 戦乱のゼンディカー (213/274) ",-
"墓所からの行進/March from the Tomb ","(３)(白)(黒)","ソーサリー ",,"Return any number of target Ally creature cards with total converted mana cost 8 or less from your graveyard to the battlefield.",-,-,,"Lake Hurwitz","レア, 戦乱のゼンディカー (214/274) ",-
"待ち伏せ隊長、ムンダ/Munda, Ambush Leader ","(２)(赤)(白)","伝説のクリーチャー — コー(Kor)・同盟者(Ally) ",,"HasteRally --- Whenever Munda, Ambush Leader or another Ally enters the battlefield under your control, you may look at the top four cards of your library. If you do, reveal any number of Ally cards from among them, then put those cards on top of your library in any order and the rest on the bottom in any order.",3/4,-,,"Johannes Voss","レア, 戦乱のゼンディカー (215/274) ",-
"乱動を刻む者、ノヤン・ダール/Noyan Dar, Roil Shaper ","(３)(白)(青)","伝説のクリーチャー — マーフォーク(Merfolk)・同盟者(Ally) ",,"Whenever you cast an instant or sorcery spell, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",4/4,-,,"Karl Kopinski","レア, 戦乱のゼンディカー (216/274) ",-
"怒りの座、オムナス/Omnath, Locus of Rage ","(３)(赤)(赤)(緑)(緑)","伝説のクリーチャー — エレメンタル(Elemental) ",,"Landfall --- Whenever a land enters the battlefield under your control, put a 5/5 red and green Elemental creature token onto the battlefield.Whenever Omnath, Locus of Rage or another Elemental you control dies, Omnath deals 3 damage to target creature or player.",5/5,-,,"Brad Rigney","神話レア, 戦乱のゼンディカー (217/274) ",-
"毅然たる刃の達人/Resolute Blademaster ","(３)(赤)(白)","クリーチャー — 人間(Human)・兵士(Soldier)・同盟者(Ally) ",,"Rally --- Whenever Resolute Blademaster or another Ally enters the battlefield under your control, creatures you control gain double strike until end of turn.",2/2,-,,"Joseph Meehan","アンコモン, 戦乱のゼンディカー (218/274) ",-
"乱動の噴出/Roil Spout ","(１)(白)(青)","ソーサリー ",,"Put target creature on top of its owner's library.Awaken 4 --- {4}{W}{U} （If you cast this spell for {4}{W}{U}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Igor Kieryluk","アンコモン, 戦乱のゼンディカー (219/274) ",-
"空乗りのエルフ/Skyrider Elf ","(Ｘ)(緑)(青)","クリーチャー — エルフ(Elf)・戦士(Warrior)・同盟者(Ally) ",,"FlyingConverge --- Skyrider Elf enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.",0/0,-,,"Dan Scott","アンコモン, 戦乱のゼンディカー (220/274) ",-
"古参の戦導者/Veteran Warleader ","(１)(緑)(白)","クリーチャー — 人間(Human)・兵士(Soldier)・同盟者(Ally) ",,"Veteran Warleader's power and toughness are each equal to the number of creatures you control.Tap another untapped Ally you control: Veteran Warleader gains your choice of first strike, vigilance, or trample until end of turn.",*/*,-,,"Josu Hernaiz","レア, 戦乱のゼンディカー (221/274) ",-
"連結面晶体構造/Aligned Hedron Network ","(４)","アーティファクト ",,"When Aligned Hedron Network enters the battlefield, exile all creatures with power 5 or greater until Aligned Hedron Network leaves the battlefield. （Those creatures return under their owners' control.）",-,-,,"Richard Wright","レア, 戦乱のゼンディカー (222/274) ",-
"面晶体の記録庫/Hedron Archive ","(４)","アーティファクト ",,"{T}: Add {2} to your mana pool.{2}, {T}, Sacrifice Hedron Archive: Draw two cards.",-,-,,"Craig J Spearing","アンコモン, 戦乱のゼンディカー (223/274) ",-
"面晶体の刃/Hedron Blade ","(１)","アーティファクト — 装備品(Equipment) ",,"Equipped creature gets +1/+1.Whenever equipped creature becomes blocked by one or more colorless creatures, it gains deathtouch until end of turn. （Any amount of damage it deals to a creature is enough to destroy it.）Equip {2} （{2}: Attach to target creature you control. Equip only as a sorcery.）",-,-,,"Zack Stella","コモン, 戦乱のゼンディカー (224/274) ",-
"突き抜けの矢/Pathway Arrows ","(１)","アーティファクト — 装備品(Equipment) ",,"Equipped creature has ""{2}, {T}: This creature deals 1 damage to target creature. If a colorless creature is dealt damage this way, tap it.""Equip {2}",-,-,,"Kev Walker","アンコモン, 戦乱のゼンディカー (225/274) ",-
"巡礼者の目/Pilgrim's Eye （じゅんれいしゃのめ） ","(３)","アーティファクト・クリーチャー — 飛行機械(Thopter) ","飛行巡礼者の目が戦場に出たとき、あなたは「あなたのライブラリーから基本土地カードを１枚探し、それを公開してあなたの手札に加える。その後、あなたのライブラリーを切り直す」ことを選んでもよい。","FlyingWhen Pilgrim's Eye enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.",1/1,-,,"Dan Scott","アンコモン, 戦乱のゼンディカー (226/274) ","BFZ WWK C14 C13 DDI "
"板岩の槌/Slab Hammer ","(２)","アーティファクト — 装備品(Equipment) ",,"Whenever equipped creature attacks, you may return a land you control to its owner's hand. If you do, the creature gets +2/+2 until end of turn.Equip {2}",-,-,,"Joseph Meehan","アンコモン, 戦乱のゼンディカー (227/274) ",-
"同盟者の宿営地/Ally Encampment ",,"土地 ",,"{T}: Add {1} to your mana pool.{T}: Add one mana of any color to your mana pool. Spend this mana only to cast an Ally spell.{1}, {T}, Sacrifice Ally Encampment: Return target Ally you control to its owner's hand.",-,-,,"Jonas De Ro","レア, 戦乱のゼンディカー (228/274) ",-
"荒廃した瀑布/Blighted Cataract ",,"土地 ",,"{T}: Add {1} to your mana pool.{5}{U}, {T}, Sacrifice Blighted Cataract: Draw two cards.",-,-,,"Vincent Proce","アンコモン, 戦乱のゼンディカー (229/274) ",-
"荒廃した湿原/Blighted Fen ",,"土地 ",,"{T}: Add {1} to your mana pool.{4}{B}, {T}, Sacrifice Blighted Fen: Target opponent sacrifices a creature.",-,-,,"Jonas De Ro","アンコモン, 戦乱のゼンディカー (230/274) ",-
"荒廃した山峡/Blighted Gorge ",,"土地 ",,"{T}: Add {1} to your mana pool.{4}{R}, {T}, Sacrifice Blighted Gorge: Blighted Gorge deals 2 damage to target creature or player.",-,-,,"Jung Park","アンコモン, 戦乱のゼンディカー (231/274) ",-
"荒廃した草原/Blighted Steppe ",,"土地 ",,"{T}: Add {1} to your mana pool.{3}{W}, {T}, Sacrifice Blighted Steppe: You gain 2 life for each creature you control.",-,-,,"Yeong-Hao Han","アンコモン, 戦乱のゼンディカー (232/274) ",-
"荒廃した森林/Blighted Woodland ",,"土地 ",,"{T}: Add {1} to your mana pool.{3}{G}, {T}, Sacrifice Blighted Woodland: Search your library for up to two basic land cards and put them onto the battlefield tapped. Then shuffle your library.",-,-,,"Jason Felix","アンコモン, 戦乱のゼンディカー (233/274) ",-
"梢の眺望/Canopy Vista ",,"土地 — 森(Forest)・平地(Plains) ",,"（{T}: Add {G} or {W} to your mana pool.）Canopy Vista enters the battlefield tapped unless you control two or more basic lands.",-,-,,"Adam Paquette","レア, 戦乱のゼンディカー (234/274) ",-
"燃えがらの林間地/Cinder Glade ",,"土地 — 山(Mountain)・森(Forest) ",,"（{T}: Add {R} or {G} to your mana pool.）Cinder Glade enters the battlefield tapped unless you control two or more basic lands.",-,-,,"Adam Paquette","レア, 戦乱のゼンディカー (235/274) ",-
"進化する未開地/Evolving Wilds （しんかするみかいち） ",,"土地 ","(Ｔ),進化する未開地を生け贄に捧げる：あなたのライブラリーから基本土地カードを１枚探し、それをタップ状態で戦場に出す。その後、あなたのライブラリーを切り直す。","{T}, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.",-,-,,Izzy,"コモン, 戦乱のゼンディカー (236/274) ","BFZ ORI DTK M15 M13 DKA ROE C14 C13 CMD MM2 DDN DDK DDH "
"肥沃な茂み/Fertile Thicket ",,"土地 ",,"Fertile Thicket enters the battlefield tapped.When Fertile Thicket enters the battlefield, you may look at the top five cards of your library. If you do, reveal up to one basic land card from among them, then put that card on top of your library and the rest on the bottom in any order.{T}: Add {G} to your mana pool.",-,-,,"Andreas Rocha","コモン, 戦乱のゼンディカー (237/274) ",-
"そびえる尖頂/Looming Spires ",,"土地 ",,"Looming Spires enters the battlefield tapped.When Looming Spires enters the battlefield, target creature gets +1/+1 and gains first strike until end of turn.{T}: Add {R} to your mana pool.",-,-,,"Florian de Gesincourt","コモン, 戦乱のゼンディカー (238/274) ",-
"伐採地の滝/Lumbering Falls ",,"土地 ",,"Lumbering Falls enters the battlefield tapped.{T}: Add {G} or {U} to your mana pool.{2}{G}{U}: Lumbering Falls becomes a 3/3 green and blue Elemental creature with hexproof until end of turn. It's still a land.",-,-,,"Titus Lunter","レア, 戦乱のゼンディカー (239/274) ",-
"亡骸のぬかるみ/Mortuary Mire ",,"土地 ",,"Mortuary Mire enters the battlefield tapped.When Mortuary Mire enters the battlefield, you may put target creature card from your graveyard on top of your library.{T}: Add {B} to your mana pool.",-,-,,"James Paick","コモン, 戦乱のゼンディカー (240/274) ",-
"大草原の川/Prairie Stream ",,"土地 — 平地(Plains)・島(Island) ",,"（{T}: Add {W} or {U} to your mana pool.）Prairie Stream enters the battlefield tapped unless you control two or more basic lands.",-,-,,"Adam Paquette","レア, 戦乱のゼンディカー (241/274) ",-
"ウギンの聖域/Sanctum of Ugin ",,"土地 ",,"{T}: Add {1} to your mana pool.Whenever you cast a colorless spell with converted mana cost 7 or greater, you may sacrifice Sanctum of Ugin. If you do, search your library for a colorless creature card, reveal it, put it into your hand, then shuffle your library.",-,-,,"James Paick","レア, 戦乱のゼンディカー (242/274) ",-
"砂岩の橋/Sandstone Bridge ",,"土地 ",,"Sandstone Bridge enters the battlefield tapped.When Sandstone Bridge enters the battlefield, target creature gets +1/+1 and gains vigilance until end of turn.{T}: Add {W} to your mana pool.",-,-,,"Cliff Childs","コモン, 戦乱のゼンディカー (243/274) ",-
"乱脈な気孔/Shambling Vent ",,"土地 ",,"Shambling Vent enters the battlefield tapped.{T}: Add {W} or {B} to your mana pool.{1}{W}{B}: Shambling Vent becomes a 2/3 white and black Elemental creature with lifelink until end of turn. It's still a land.",-,-,,"Jung Park","レア, 戦乱のゼンディカー (244/274) ",-
"見捨てられた神々の神殿/Shrine of the Forsaken Gods ",,"土地 ",,"{T}: Add {1} to your mana pool.{T}: Add {2} to your mana pool. Spend this mana only to cast colorless spells. Activate this ability only if you control seven or more lands.",-,-,,"Daniel Ljunggren","レア, 戦乱のゼンディカー (245/274) ",-
"天空の滝/Skyline Cascade ",,"土地 ",,"Skyline Cascade enters the battlefield tapped.When Skyline Cascade enters the battlefield, target creature an opponent controls doesn't untap during its controller's next untap step.{T}: Add {U} to your mana pool.",-,-,,"Philip Straub","コモン, 戦乱のゼンディカー (246/274) ",-
"燻る湿地/Smoldering Marsh ",,"土地 — 沼(Swamp)・山(Mountain) ",,"（{T}: Add {B} or {R} to your mana pool.）Smoldering Marsh enters the battlefield tapped unless you control two or more basic lands.",-,-,,"Adam Paquette","レア, 戦乱のゼンディカー (247/274) ",-
