"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"闊歩するものの装具/Strider Harness （かっぽするもののそうぐ） ","(３)","アーティファクト — 装備品(Equipment) ","装備しているクリーチャーは+1/+1の修整を受けるとともに速攻を持つ。装備(１)","Equipped creature gets +1/+1 and has haste.Equip {1}",-,-,,"Kev Walker","アンコモン, ゲートウォッチの誓い (167/184) ","OGW SOM "
"燃え殻の痩せ地/Cinder Barrens （もえがらのやせち） ",,"土地 ","燃え殻の痩せ地はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(黒)か(赤)を加える。","Cinder Barrens enters the battlefield tapped.{T}: Add {B} or {R} to your mana pool.",-,-,,"Cliff Childs","アンコモン, ゲートウォッチの誓い (168/184) ",-
"廃集落/Corrupted Crossroads （はいしゅうらく） ",,"土地 ","(Ｔ)：あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）(Ｔ),ライフを１点支払う：あなたのマナ・プールに、好きな色１色のマナ１点を加える。このマナは欠色を持つ呪文を唱えるためにのみ使用できる。","{T}: Add {C} to your mana pool. （{C} represents colorless mana.）{T}, Pay 1 life: Add one mana of any color to your mana pool. Spend this mana only to cast a spell with devoid.",-,-,,"Ryan Pancoast","レア, ゲートウォッチの誓い (169/184) ",-
"崩壊する痕跡/Crumbling Vestige （ほうかいするこんせき） ",,"土地 ","崩壊する痕跡はタップ状態で戦場に出る。崩壊する痕跡が戦場に出たとき、あなたのマナ・プールに好きな色１色のマナ１点を加える。(Ｔ)：あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）","Crumbling Vestige enters the battlefield tapped.When Crumbling Vestige enters the battlefield, add one mana of any color to your mana pool.{T}: Add {C} to your mana pool. （{C} represents colorless mana.）",-,-,,"Zack Stella","コモン, ゲートウォッチの誓い (170/184) ",-
"風切る泥沼/Hissing Quagmire （かぜきるどろぬま） ",,"土地 ","風切る泥沼はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(黒)か(緑)を加える。(１)(黒)(緑)：ターン終了時まで、風切る泥沼は接死を持つ黒であり緑である2/2のエレメンタル(Elemental)・クリーチャーになる。これは土地でもある。","Hissing Quagmire enters the battlefield tapped.{T}: Add {B} or {G} to your mana pool.{1}{B}{G}: Hissing Quagmire becomes a 2/2 black and green Elemental creature with deathtouch until end of turn. It's still a land.",-,-,,"Cliff Childs","レア, ゲートウォッチの誓い (171/184) ",-
"抵抗者の居住地/Holdout Settlement （ていこうしゃのきょじゅうち） ",,"土地 ","(Ｔ)：あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）(Ｔ),あなたがコントロールするアンタップ状態のクリーチャーを１体タップする：あなたのマナ・プールに、好きな色１色のマナ１点を加える。","{T}: Add {C} to your mana pool. （{C} represents colorless mana.）{T}, Tap an untapped creature you control: Add one mana of any color to your mana pool.",-,-,,"Kieran Yanner","コモン, ゲートウォッチの誓い (172/184) ",-
"曲がりくねる川/Meandering River （まがりくねるかわ） ",,"土地 ","曲がりくねる川はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(白)か(青)を加える。","Meandering River enters the battlefield tapped.{T}: Add {W} or {U} to your mana pool.",-,-,,"Cliff Childs","アンコモン, ゲートウォッチの誓い (173/184) ",-
"鏡の池/Mirrorpool （かがみのいけ） ",,"土地 ","鏡の池はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(◇)を加える。(２)(◇),(Ｔ),鏡の池を生け贄に捧げる：あなたがコントロールする、インスタント呪文１つかソーサリー呪文１つを対象とし、それをコピーする。あなたはそのコピーの新しい対象を選んでもよい。(４)(◇),(Ｔ),鏡の池を生け贄に捧げる：あなたがコントロールするクリーチャー１体を対象とし、それのコピーであるトークンを１体戦場に出す。","Mirrorpool enters the battlefield tapped.{T}: Add {C} to your mana pool.{2}{C}, {T}, Sacrifice Mirrorpool: Copy target instant or sorcery spell you control. You may choose new targets for the copy.{4}{C}, {T}, Sacrifice Mirrorpool: Put a token onto the battlefield that's a copy of target creature you control.",-,-,,"Cliff Childs","神話レア, ゲートウォッチの誓い (174/184) ",-
"鋭い突端/Needle Spires （するどいとったん） ",,"土地 ","鋭い突端はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(赤)か(白)を加える。(２)(赤)(白)：ターン終了時まで、鋭い突端は二段攻撃を持つ赤であり白である2/1のエレメンタル(Elemental)・クリーチャーになる。これは土地でもある。","Needle Spires enters the battlefield tapped.{T}: Add {R} or {W} to your mana pool.{2}{R}{W}: Needle Spires becomes a 2/1 red and white Elemental creature with double strike until end of turn. It's still a land.",-,-,,"Jonas De Ro","レア, ゲートウォッチの誓い (175/184) ",-
"オラン＝リーフの廃墟/Ruins of Oran-Rief （おらんりーふのはいきょ） ",,"土地 ","オラン＝リーフの廃墟はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）(Ｔ)：このターンに戦場に出た無色のクリーチャー１体を対象とし、それの上に+1/+1カウンターを１個置く。","Ruins of Oran-Rief enters the battlefield tapped.{T}: Add {C} to your mana pool. （{C} represents colorless mana.）{T}: Put a +1/+1 counter on target colorless creature that entered the battlefield this turn.",-,-,,"Jason Felix","レア, ゲートウォッチの誓い (176/184) ",-
"海門の残骸/Sea Gate Wreckage （かいもんのざんがい） ",,"土地 ","(Ｔ)：あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）(２)(◇),(Ｔ)：カードを１枚引く。この能力は、あなたの手札にカードがないときにのみ起動できる。","{T}: Add {C} to your mana pool. （{C} represents colorless mana.）{2}{C}, {T}: Draw a card. Activate this ability only if you have no cards in hand.",-,-,,"Zack Stella","レア, ゲートウォッチの誓い (177/184) ",-
"水没した骨塚/Submerged Boneyard （すいぼつしたほねづか） ",,"土地 ","水没した骨塚はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(青)か(黒)を加える。","Submerged Boneyard enters the battlefield tapped.{T}: Add {U} or {B} to your mana pool.",-,-,,"Cliff Childs","アンコモン, ゲートウォッチの誓い (178/184) ",-
"森林の地溝/Timber Gorge （しんりんのちこう） ",,"土地 ","森林の地溝はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(赤)か(緑)を加える。","Timber Gorge enters the battlefield tapped.{T}: Add {R} or {G} to your mana pool.",-,-,,"Cliff Childs","アンコモン, ゲートウォッチの誓い (179/184) ",-
"平穏なる広野/Tranquil Expanse （へいおんなるこうや） ",,"土地 ","平穏なる広野はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(緑)か(白)を加える。","Tranquil Expanse enters the battlefield tapped.{T}: Add {G} or {W} to your mana pool.",-,-,,"Cliff Childs","アンコモン, ゲートウォッチの誓い (180/184) ",-
"未知の岸/Unknown Shores （みちのきし） ",,"土地 ","(Ｔ)：あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）(１),(Ｔ)：あなたのマナ・プールに、好きな色１色のマナ１点を加える。","{T}: Add {C} to your mana pool. （{C} represents colorless mana.）{1}, {T}: Add one mana of any color to your mana pool.",-,-,,"Jung Park","コモン, ゲートウォッチの誓い (181/184) ","OGW THS "
"さまよう噴気孔/Wandering Fumarole （さまようふんきこう） ",,"土地 ","さまよう噴気孔はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに(青)か(赤)を加える。(２)(青)(赤)：ターン終了時まで、さまよう噴気孔は「(０)：ターン終了時まで、このクリーチャーのパワーとタフネスを入れ替える。」を持つ青であり赤である1/4のエレメンタル(Elemental)・クリーチャーになる。これは土地でもある。","Wandering Fumarole enters the battlefield tapped.{T}: Add {U} or {R} to your mana pool.{2}{U}{R}: Until end of turn, Wandering Fumarole becomes a 1/4 blue and red Elemental creature with ""{0}: Switch this creature's power and toughness until end of turn."" It's still a land.",-,-,,"Florian de Gesincourt","レア, ゲートウォッチの誓い (182/184) ",-
"荒地/Wastes （あれち） ",,"基本土地 ","(Ｔ)：あなたのマナ・プールに(◇)を加える。","{T}: Add {C} to your mana pool.",-,-,,"Jason Felix","コモン, ゲートウォッチの誓い (183/184) ",-
"荒地/Wastes （あれち） ",,"基本土地 ","(Ｔ)：あなたのマナ・プールに(◇)を加える。","{T}: Add {C} to your mana pool.",-,-,,"Raymond Swanland","コモン, ゲートウォッチの誓い (184/184) ",-
